track_name,album_name,artist_name,ms_played
No Love (with SZA),Still Over It,Summer Walker,231497
Can You Blame Me (feat. Lucky Daye),It Was Good Until It Wasn't,Kehlani,183019
Losing You,Losing You,Solange,260399
DESERT EAGLE,COWBOY CARTER,Beyoncé,72448
Almeda,When I Get Home,Solange,236120
Don't You Wait,A Seat at the Table,Solange,245906
Xtasy (Remix) [feat. Doechii],Xtasy (Remix) [feat. Doechii],Ravyn Lenae,270497
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371
Down Stairs DJ,MEGAN,Megan Thee Stallion,4873
Canned Heat,Synkronized,Jamiroquai,331760
Feels Like Summer,Summer Pack,Childish Gambino,5095
Girl (feat. KAYTRANADA),Ego Death,The Internet,415613
YOU'RE THE ONE,99.9%,KAYTRANADA,227706
Hold On,Hive Mind,The Internet,406466
Somthing's Missing,Ego Death,The Internet,120848
Fell In Luv (feat. Bryson Tiller),Die Lit,Playboi Carti,206333
lose,Birds In The Trap Sing McKnight,Travis Scott,200451
I KNOW ?,UTOPIA,Travis Scott,211582
Freak Hoe,DS2 - Deluxe,Future,174733
Electric Body (feat. ScHoolboy Q),AT.LONG.LAST.A$AP,A$AP Rocky,255253
durag activity (with Travis Scott),The Melodic Blue,Baby Keem,224456
Dragonball Durag,It Is What It Is,Thundercat,181922
WHITE CROCS (with Ryan Trey),FORWARD,Jordan Ward,147773
Captain Hook,Suga,Megan Thee Stallion,176749
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333
Good At,Tina Snow,Megan Thee Stallion,230646
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627
Back That Azz Up,400 Degreez,JUVENILE,265600
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Losing You,Losing You,Solange,260399
Sound of Rain,When I Get Home,Solange,185959
Stay Flo,When I Get Home,Solange,175706
Binz,When I Get Home,Solange,111226
8,CRASH,Kehlani,150262
Paranoid,808s & Heartbreak,Kanye West,277906
Praise God,Donda,Kanye West,3243
Paranoid,808s & Heartbreak,Kanye West,254016
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Good At,Tina Snow,Megan Thee Stallion,230646
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371
Losing You,Losing You,Solange,260399
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
Xtasy (Remix) [feat. Doechii],Xtasy (Remix) [feat. Doechii],Ravyn Lenae,270497
Let Me Down Slowly,333,Tinashe,185777
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,192017
successful,Sweetener,Ariana Grande,227386
Under The Influence,Indigo (Extended),Chris Brown,184613
Birthday Sex,Jeremih,Jeremih,226506
Persuasion (feat. Victoria Monét),Bryson Tiller,Bryson Tiller,169941
Bloom,Lucid,Raveena,326134
Luxurious,Love Angel Music Baby,Gwen Stefani,264920
Nasty (Match My Chic Remix),Match My Freak EP,Tinashe,182643
Nasty,Nasty,Tinashe,176027
Birds Dont Sing,French Exit,TV Girl,3191
Co-Star,Fountain Baby,Amaarae,166533
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,2647
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Good At,Tina Snow,Megan Thee Stallion,230646
Losing You,Losing You,Solange,260399
Cocky Af,Tina Snow,Megan Thee Stallion,101158
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
Sound of Rain,When I Get Home,Solange,185959
Almeda,When I Get Home,Solange,219488
Nasty,Nasty,Tinashe,176027
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,192017
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,2027
Dance Dance Dance Dance,TIMELESS,KAYTRANADA,102873
Stepped On,TIMELESS,KAYTRANADA,181105
Snap My Finger (feat. PinkPantheress),TIMELESS,KAYTRANADA,201371
The Recipe,Renaissance,Aluna,202012
